trade_date,booking_date,value_date,currency,debit,credit,balance,transaction_id,description,details,footnotes
12.02.2026,12.02.2026,12.02.2026,CHF,-877.45,,1483.82,2292043DJ7410461,Steuerverwaltung EBILL-RECHT,"Reference no. QRR: 11 00000 00017 65117 01485 32667; Reason for payment: QRR; Account no. IBAN: CH94 3000 0006 7000 0187 9","Costs: E-Banking domestic; Transaction no. 22920433DJ74140461"
12.02.2026,12.02.2026,12.02.2026,CHF,-535.70,,2361.27,2192043DJ7410458,Steuerverwaltung EBILL-RECHT,"Reference no. QRR: 11 00000 00017 65117 01485 32667; Reason for payment: QRR; Account no. IBAN: CH94 3000 0006 7000 0187 9","Costs: E-Banking domestic; Transaction no. 21924043DJ74510458"
11.02.2026,11.02.2026,11.02.2026,CHF,-11.80,,2896.97,9992402GK6077402,SBB MOBILE,"Payment UBS; TWINT-Acc: +41123455555; Transaction no. 999243402GK6077402",
09.02.2026,09.02.2026,09.02.2026,CHF,-11.80,,2908.77,9992040GK4846481,SBB MOBILE,"Payment UBS; TWINT-Acc: +41123455555; Transaction no. 9992040GK483446481",
09.02.2026,09.02.2026,09.02.2026,CHF,-150.00,,2920.57,99925537LK3754207,Bill Clayton,"Transfer to UI; Account no. IBAN: CH58 0029 2292 6011 69FL; Transaction no. 9992537LK3754207",
06.02.2026,06.02.2026,06.02.2026,CHF,-11.80,,4420.57,9992037GK2742652,SBB MOBILE,"Payment UBS; Transaction no. 9992034347GK2742652",
05.02.2026,05.02.2026,05.02.2026,CHF,-11.80,,4432.37,9992036GK1943846,SBB MOBILE,"Payment UBS; Transaction no. 9992036GK3431943846",
04.02.2026,04.02.2026,04.02.2026,CHF,-15.70,,4444.17,2492035DJ6603690,Vivao Sympa EBILL-RECHT,"Reference no. QRR: 10 02218 26694 01026 92744 00007; Account no. IBAN: CH18 3000 0001 4000 2500 0","Costs: E-Banking domestic"
03.02.2026,03.02.2026,03.02.2026,CHF,-15.60,,4459.87,9992035GK1243731,SBB MOBILE,"Payment UBS; Transaction no. 9992035GK1343243731",
03.02.2026,03.02.2026,03.02.2026,CHF,-362.15,,4475.47,9992034GK0875121,DIGITEC GALAXUS,"Payment; Pfingstweidstrasse 60, 8005 Zuerich; Transaction no. 9992034GK0875121",
01.02.2026,03.02.2026,03.02.2026,CHF,-40.00,,4837.62,9992032GK9641051,BAZG VIA WEBSHOP,"Payment; Taubenstrasse 16a, 3003 Bern; Transaction no. 9992032GK9641051",
01.02.2026,02.02.2026,01.02.2026,CHF,-13.00,,4877.62,9992032GK9823735,PARKINGABO,"Payment UBS; Rüetistrasse 13, 8952 Schlieren; Transaction no. 9992032GK9823735",
31.01.2026,31.01.2026,31.01.2026,CHF,-300.00,,4890.62,9992031GK8542797,Bob,"Debit UBS TWINT; Transaction no. 9992031GK8543442797",
30.01.2026,30.01.2026,30.01.2026,CHF,-1042.10,,5190.62,9292030DJ5699168,Vivao Sympa EBILL-RECHT,"Reference no. QRR: 10 02214 73649 01026 92744 00002; Account no. IBAN: CH18 3000 0001 4000 2500 0","Costs: E-Banking domestic"
30.01.2026,30.01.2026,30.01.2026,CHF,-986.60,,6232.72,1092030DJ5699246,Visana Service EBILL-RECHT,"Reference no. QRR: 10 03705 75051 80381 88820 00003; Account no. IBAN: CH35 3000 0001 11750 3770 0","Costs: E-Banking domestic"
30.01.2026,30.01.2026,30.01.2026,CHF,-25.00,,7219.32,9992530LK3109342,Alice Newe H,"Allowance; Standing order domestic; Account no. IBAN: CH12 0025 9259 1109 0440 QC; Transaction no. 9992530LK3159342",
30.01.2026,30.01.2026,30.01.2026,CHF,-50.25,,7469.32,4092030DJ5699391,Vivao Sympa EBILL-RECHT,"Reference no. QRR: 10 02212 93766 01026 92744 00008; Account no. IBAN: CH18 3000 0001 4000 2500 0",
30.01.2026,30.01.2026,30.01.2026,CHF,-6.60,,7519.57,9992030GK7785363,SBB MOBILE,"Payment UBS; Transaction no. 9992030GK7785363",
29.01.2026,29.01.2026,29.01.2026,CHF,-10.60,,7526.17,9992029GK6946360,SBB EASYRIDE,"Payment UBS; Transaction no. 9992029GK6946360",
28.01.2026,28.01.2026,28.01.2026,CHF,-139.70,,7536.77,8392028DJ5215796,Sunrise GmbH EBILL,"Reference no. QRR: 10 00008 10808 22270 0000 0007; Account no. IBAN: CH63 3000 0001 11750 3770 0","Costs: E-Banking domestic"
28.01.2026,28.01.2026,28.01.2026,CHF,-13.90,,7676.47,9992028GK6226200,SBB EASYRIDE,"Payment UBS; Transaction no. 9992028G3K6226200",
28.01.2026,28.01.2026,28.01.2026,CHF,,5000.00,7690.37,0192028TQ240400,Hall Halle,"Incoming payment UBS; Transaction no. 0192028TQ240400",
27.01.2026,28.01.2026,28.01.2026,CHF,-14992.55,,2690.37,9992527KH2298904,UBS Switzerland,"CREDIT CARD STATEMENT; REF: 16.01.2026; Transaction no. 9992527KH25458904",
27.01.2026,27.01.2026,27.01.2026,CHF,-14.00,,17682.92,9992027GK5449546,SBB EASYRIDE,"Payment UBS; Transaction no. 9994342027GK5449546",
